victim,gender,race,date,city,state,county,death,charges,mental_illness,weapon,weapon_type,threat,fleeing
29,Male,Unknown race,9/24/2020,Whitehall,LA,LaSalle,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
42,Male,Black,9/23/2020,San Clemente,CA,Orange,Gunshot,No known charges,Unknown,Unarmed/Did Not Have an Actual Weapon,no object,attack,
30,Male,White,9/22/2020,Geneseo,IL,Henry,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
44,Male,Hispanic,9/22/2020,San Antonio,TX,Bexar,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
26,Male,Black,9/21/2020,Bellefontaine Neighbors,MO,St. Louis,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Other
,Male,Hispanic,9/21/2020,Nogales,AZ,Santa Cruz,Gunshot,No known charges,No,Allegedly Armed,knife,attack,
28,Male,Black,9/21/2020,Atlanta,GA,Fulton,Gunshot,No known charges,No,Allegedly Armed,gun,other,Not fleeing
40,Female,Unknown race,9/21/2020,Athens,GA,Oconee,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
39,Female,White,9/20/2020,Redmond,WA,King,Gunshot,No known charges,No,Allegedly Armed,gun,other,Not fleeing
33,Male,Black,9/19/2020,Brunswick,GA,Glynn,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
32,Male,White,9/19/2020,Auburn,WA,King,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
52,Male,Unknown race,9/19/2020,Talking Rock,GA,Pickens,Gunshot,No known charges,No,Allegedly Armed,gun,,
45,Male,White,9/18/2020,West Des Moines,IA,Dallas,Gunshot,No known charges,Yes,Unclear,undetermined,other,Not fleeing
22,Male,White,9/18/2020,Midvale,UT,Salt Lake,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
46,Male,White,9/18/2020,Lakewood,CO,Jefferson,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
41,Male,White,9/18/2020,West Odessa,TX,Ector,Gunshot,No known charges,No,Unclear,undetermined,,
,Male,Asian,9/18/2020,Stanton,CA,Orange,Gunshot,No known charges,No,Unclear,undetermined,,
39,Male,Unknown race,9/18/2020,Redlands,CA,San Bernardino,Gunshot,No known charges,No,Unclear,undetermined,,
37,Male,Hispanic,9/17/2020,Immokalee,FL,Collier,Gunshot,No known charges,Unknown,Unclear,shovel,other,Not fleeing
,Male,White,9/16/2020,Denver,CO,Denver,Gunshot,No known charges,Unknown,Allegedly Armed,gun,attack,Not fleeing
27,Male,White,9/15/2020,Bountiful,UT,Davis,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
55,Male,Black,9/15/2020,San Antonio,TX,Bexar,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
27,Male,Hispanic,9/13/2020,Lancaster,PA,Lancaster,Gunshot,No known charges,Yes,Allegedly Armed,knife,other,Not fleeing
88,Male,Black,9/12/2020,West Sacramento,CA,Yolo,Gunshot,No known charges,Yes,Allegedly Armed,gun,other,Not fleeing
33,Male,Hispanic,9/12/2020,Denver,CO,Denver,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Other
31,Male,Unknown race,9/11/2020,Spokane Valley,WA,Spokane,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
,Male,Unknown race,9/10/2020,Norcross,GA,Gwinnett,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
,Male,White,9/10/2020,Mountain Home,NC,Hendersonvlle,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
28,Male,Black,9/10/2020,Moscow,TN,Fayette,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
41,Male,Unknown race,9/10/2020,Compton,CA,Los Angeles,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
48,Male,White,9/10/2020,Fayetteville,NC,Cumberland,Gunshot,No known charges,No,Allegedly Armed,gun,other,
,Male,Unknown race,9/9/2020,Las Vegas,NV,Clark,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Other
47,Male,White,9/9/2020,Paducah,KY,McCracken,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
41,Male,Native American,9/9/2020,Denver,CO,Denver,Gunshot,No known charges,No,Unarmed/Did Not Have an Actual Weapon,Airsoft pistol,attack,Not fleeing
33,Male,Black,9/8/2020,Delray Beach,FL,Palm Beach,Gunshot,No known charges,Unknown,Allegedly Armed,gun,attack,Car
51,Male,White,9/7/2020,Altoona,IA,Polk,Gunshot,No known charges,No,Allegedly Armed,gun,other,
40,Male,White,9/6/2020,Summerlin,NV,Clark,Gunshot,No known charges,Yes,Allegedly Armed,knife,attack,Not fleeing
54,Male,Unknown race,9/6/2020,Spruce Pine,NC,Mitchell,Gunshot,No known charges,Yes,Allegedly Armed,knife,other,
,Male,Unknown race,9/6/2020,Virginia Beach,VA,Virginia Beach City,Gunshot,No known charges,No,Allegedly Armed,knife,other,Not fleeing
,Male,Unknown race,9/5/2020,Chicago,IL,Cook,"Gunshot, Taser",No known charges,No,Allegedly Armed,knife,attack,Not fleeing
61,Male,Black,9/5/2020,San Antonio,TX,Bexar,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
22,Male,White,9/5/2020,Battle Creek,MI,Calhoun,Gunshot,No known charges,Drug or alcohol use,Vehicle,vehicle,attack,Car
33,Male,Black,9/4/2020,Syracuse,NY,Onondaga,Gunshot,No known charges,No,Allegedly Armed,gun,other,Not fleeing
38,Male,White,9/4/2020,Lucerne Valley,CA,San Bernardino,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
37,Male,Unknown race,9/3/2020,Bakersfield,CA,Kern,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
48,Male,White,9/3/2020,Lacey,WA,Thurston,Gunshot,No known charges,No,Allegedly Armed,gun,other,Not fleeing
53,Male,White,9/3/2020,Bettendorf,IA,Scott,Gunshot,No known charges,Yes,Allegedly Armed,knife,attack,Not fleeing
18,Male,Black,9/2/2020,Washington,DC,District of Columbia,Gunshot,No known charges,No,Allegedly Armed,gun,other,Other
50,Male,White,9/1/2020,Sacramento,CA,Sacramento,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
29,Male,Black,8/31/2020,Westmont,CA,Los Angeles,Gunshot,No known charges,No,Unclear,undetermined,attack,Foot
36,Male,Hispanic,8/31/2020,Aztec,NM,San Juan,Gunshot,No known charges,No,Unclear,undetermined,other,Other
26,Male,Hispanic,8/31/2020,Chicago,IL,Cook,Gunshot,No known charges,No,Unclear,undetermined,,
58,Male,Unknown race,8/31/2020,Meridian,ID,Ada,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
25,Male,Hispanic,8/30/2020,Anaheim,CA,Orange,Gunshot,No known charges,No,Allegedly Armed,knife,other,
26,Male,White,8/30/2020,Clovis,CA,Fresno,Gunshot,No known charges,No,Unarmed/Did Not Have an Actual Weapon,toy weapon,attack,Not fleeing
43,Male,Black,8/29/2020,Dearborn Heights,MI,Wayne,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
44,Male,Black,8/29/2020,Daytona Beach,FL,Volusia,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
Unknown,Male,Unknown race,8/29/2020,Loma,CO,Mesa,Gunshot,No known charges,No,Allegedly Armed,gun,other,Not fleeing
36,Male,Hispanic,8/28/2020,Elkridge,MD,Howard,Gunshot,No known charges,Drug or alcohol use,Vehicle,vehicle,other,Car
38,Male,White,8/27/2020,Salt Lake City,UT,Salt Lake,Gunshot,No known charges,No,Allegedly Armed,gun,other,Foot
29,Male,Black,8/26/2020,Houston,TX,Harris,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
17,Male,Hispanic,8/26/2020,Tucson,AZ,Pima,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
31,Male,Black,8/25/2020,San Antonio,TX,Bexar,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
30,Male,Unknown race,8/25/2020,Gray,KY,Knox,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
47,Male,Unknown race,8/25/2020,Marshall,MI,Calhoun,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
41,Male,White,8/25/2020,Gray,KY,Knox,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
31,Male,Unknown race,8/24/2020,Lincolnton,NC,Gaston,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
Unknown,,Unknown race,8/24/2020,Albuquerque,NM,Bernalillo,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
47,Male,Unknown race,8/23/2020,Kingsland,GA,Camden,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
31,Male,Black,8/22/2020,Lafayette,LA,Lafayette,"Gunshot, Taser",No known charges,Yes,Allegedly Armed,knife,other,Foot
35,Male,Native American,8/22/2020,Belcourt,ND,Rolette,Gunshot,No known charges,No,Unclear,undetermined,undetermined,
29,Male,Unknown race,8/22/2020,Rancho Cordova,CA,Sacramento,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
39,Male,Unknown race,8/22/2020,Rancho Cucamonga,CA,San Bernardino,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
39,Male,Unknown race,8/21/2020,Asbury Park,NJ,Monmouth,Gunshot,No known charges,No,Allegedly Armed,knife,other,
42,Male,White,8/21/2020,Nipomo,CA,San Luis Obispo,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
36,Male,Hispanic,8/20/2020,Bakersfield,CA,Kern,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,
Unknown,Male,Unknown race,8/20/2020,Brooksville,FL,Hernando,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
35,Male,White,8/20/2020,Amity,MO,DeKalb,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
37,Male,White,8/20/2020,Cabot,AR,Lonoke,Gunshot,No known charges,Yes,Allegedly Armed,gun,undetermined,
43,Male,White,8/20/2020,Driftwood,TX,Hays,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Car
21,Male,Hispanic,8/19/2020,San Benito,TX,Cameron,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
39,Male,Unknown race,8/19/2020,Lake Havasu City,AZ,Mohave,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
60,Male,White,8/19/2020,Chickamauga,GA,Walker,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
37,Male,Black,8/18/2020,Hope Mills,NC,Cumberland,Gunshot,No known charges,Yes,Allegedly Armed,machete,undetermined,
38,Male,Unknown race,8/18/2020,Pollocksville,NC,Jones,Gunshot,No known charges,No,Unclear,undetermined,undetermined,
Unknown,Male,White,8/18/2020,Bay City,TX,Matagorda,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
27,Male,Hispanic,8/17/2020,Weslaco,TX,Hidalgo,Gunshot,No known charges,Unknown,Allegedly Armed,gun,attack,Foot
36,Male,Hispanic,8/17/2020,San Bernardino,CA,San Bernardino,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
Unknown,Male,Hispanic,8/17/2020,Bakersfield,CA,Kern,Gunshot,No known charges,No,Allegedly Armed,knife,other,Car
34,Male,White,8/17/2020,Avon Park,FL,Highlands,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
35,Male,White,8/17/2020,Barstow,CA,San Bernardino,Gunshot,No known charges,No,Allegedly Armed,pepper spray,attack,Not fleeing
27,Male,Hispanic,8/16/2020,Dos Palos,CA,Merced,Gunshot,No known charges,No,Allegedly Armed,knife,other,Not fleeing
30,Male,Unknown race,8/16/2020,Hemet,CA,Riverside,Gunshot,No known charges,No,Allegedly Armed,gun,other,Car
Unknown,Male,White,8/16/2020,Las Vegas,NV,Clark,Gunshot,No known charges,Yes,Allegedly Armed,gun,other,Not fleeing
35,Male,White,8/16/2020,Theta,TN,Maury,Gunshot,No known charges,No,Vehicle,vehicle,undetermined,Other
32,Male,Black,8/15/2020,Pasadena,CA,Los Angeles,Gunshot,No known charges,No,Allegedly Armed,gun,other,Foot
31,Male,Black,8/15/2020,Tuscaloosa,AL,Tuscaloosa,Tasered,No known charges,Yes,Unarmed/Did Not Have an Actual Weapon,no object,other,
41,Male,Unknown race,8/15/2020,Oak Ridge,TN,Anderson,Gunshot,No known charges,No,Allegedly Armed,knife,undetermined,Not fleeing
Unknown,Male,Unknown race,8/15/2020,Denver,CO,Denver,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
52,Male,White,8/15/2020,Ocala,FL,Marion,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
39,Male,Hispanic,8/14/2020,Phoenix,AZ,Maricopa,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
Unknown,Male,Unknown race,8/14/2020,North Miami,FL,Miami-Dade,Gunshot,No known charges,No,Allegedly Armed,knife,attack,
28,Male,White,8/14/2020,Fort Lauderdale,FL,Broward,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
29,Male,Black,8/13/2020,Moreland,GA,Coweta,Vehicle,No known charges,Drug or alcohol use,Vehicle,vehicle,,
48,Female,Unknown race,8/11/2020,Pueblo,CO,Pueblo,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
Unknown,Male,Unknown race,8/11/2020,Tulsa,OK,Tulsa,Gunshot,No known charges,No,Vehicle,vehicle,attack,Car
50,Male,White,8/11/2020,Albuquerque,NM,Bernalillo,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
40,Male,Hispanic,8/10/2020,Grand Island,NE,Hall,Gunshot,No known charges,Yes,Allegedly Armed,knife,attack,Not fleeing
48,Male,Hispanic,8/10/2020,Albuquerque,NM,Bernalillo,Gunshot,No known charges,No,Unclear,undetermined,undetermined,
45,Male,Unknown race,8/10/2020,Casper,WY,Natrona,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
32,Male,White,8/10/2020,Las Vegas,NV,Clark,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,Not fleeing
38,Male,White,8/10/2020,Robbins,NC,Moore,Gunshot,No known charges,Yes,Allegedly Armed,gun,other,Foot
26,Male,Hispanic,8/9/2020,El Paso,TX,El Paso,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
39,Male,Unknown race,8/9/2020,Graham,WA,Pierce,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
42,Male,White,8/9/2020,Tulsa,OK,Tulsa,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Foot
Unknown,Male,Black,8/8/2020,Bossier City,LA,Bossier,Gunshot,No known charges,Yes,Allegedly Armed,knife,other,Not fleeing
Unknown,Male,Unknown race,8/8/2020,St. Croix Falls,WI,Polk,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
21,Male,White,8/8/2020,Clinton,UT,Davis,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Car
25,Male,White,8/8/2020,Tulsa,OK,Tulsa,Gunshot,No known charges,Yes,Allegedly Armed,knife,other,Not fleeing
39,Male,White,8/8/2020,Holladay,UT,Salt Lake,Gunshot,No known charges,Yes,Allegedly Armed,gun,undetermined,Not fleeing
22,Male,Black,8/7/2020,Orlando,FL,Orange,Gunshot,No known charges,No,Allegedly Armed,gun,other,Foot
60,Male,Black,8/7/2020,Sylvania,GA,Screven,Gunshot,Charged with a crime,No,Vehicle,vehicle,,
Unknown,Male,Hispanic,8/7/2020,Rancho Mirage,CA,Riverside,Gunshot,No known charges,No,Allegedly Armed,knife,attack,Not fleeing
26,Male,Unknown race,8/7/2020,West Alton,MO,St. Charles,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
51,Male,White,8/7/2020,Dover,FL,Hillsborough,Gunshot,No known charges,No,Allegedly Armed,gun,,
55,Male,White,8/7/2020,St. Petersburg,FL,Pinellas,Gunshot,No known charges,Yes,Unarmed/Did Not Have an Actual Weapon,no object,attack,Not fleeing
30,Male,Black,8/6/2020,Ventnor City,NJ,Atlantic,Gunshot,No known charges,No,Unclear,bottle,other,Not fleeing
35,Male,Unknown race,8/6/2020,Oakland,CA,Alameda,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Other
Unknown,Male,Unknown race,8/6/2020,Ontario,CA,San Bernardino,Gunshot,No known charges,No,Allegedly Armed,metal pipe,,
29,Male,Hispanic,8/5/2020,San Angelo,TX,Tom Green,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Other
30,Male,Black,8/4/2020,Houston,TX,Harris,Gunshot,No known charges,No,Allegedly Armed,gun,attack,
28,Male,Hispanic,8/4/2020,Phoenix,AZ,Maricopa,Physical Restraint,No known charges,Yes,Unarmed/Did Not Have an Actual Weapon,no object,,
39,Female,Unknown race,8/4/2020,Fort Dodge,IA,Webster,Gunshot,No known charges,Yes,Allegedly Armed,knife,other,Not fleeing
30,Male,Unknown race,8/4/2020,West Valley City,UT,Salt Lake,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Foot
67,Male,Unknown race,8/4/2020,James Island,SC,Charleston,Gunshot,No known charges,No,Allegedly Armed,gun and knife,attack,Not fleeing
44,Male,White,8/4/2020,Warren,OH,Trumbull,Gunshot,No known charges,Yes,Allegedly Armed,gun,other,Not fleeing
36,Male,White,8/4/2020,Port Orchard,WA,Kitsap,Gunshot,No known charges,Yes,Unarmed/Did Not Have an Actual Weapon,no object,undetermined,
Unknown,Male,Unknown race,8/3/2020,Culver City,CA,Los Angeles,Gunshot,No known charges,Unknown,Allegedly Armed,knife,,
38,Male,White,8/3/2020,Mooresville,NC,Iredell,Gunshot,No known charges,Yes,Allegedly Armed,gun,attack,
17,Male,Unknown race,8/2/2020,West Jordan,UT,Salt Lake,Gunshot,No known charges,No,Allegedly Armed,gun,attack,Not fleeing
